N,HashTable_Insert,AVL_Insert,HashTable_Search,AVL_Search
1000,0.001128799980506301,0.010599900007946417,0.00028940002084709704,0.0006352999771479517
2500,0.0010359000007156283,0.022919599985470995,0.0013062000216450542,0.001985500013688579
5000,0.0034610000147949904,0.03146819997346029,0.001593900000443682,0.0030263999942690134
7500,0.0030399000097531825,0.05092030001105741,0.0020323000208009034,0.005936700006714091
8763,0.004467599996132776,0.056091499980539083,0.002270700002554804,0.005483899993123487
