N,LL_Insert,HashTable_Insert,AVL_Insert,LL_Search,HashTable_Search,AVL_Search
500,0.00018730000010691583,0.0005033999914303422,0.004676900018239394,0.002567299990914762,0.00029329999233596027,0.0004440000047907233
1000,0.0003367000026628375,0.00029329999233596027,0.003224999993108213,0.002383299986831844,0.00025060001644305885,0.00038300000596791506
2500,0.001060199982021004,0.0012682999949902296,0.010769899992737919,0.004651900002500042,0.00048469999455846846,0.0008091999916359782
5000,0.0008787999977357686,0.0026870000001508743,0.016864800010807812,0.008315999992191792,0.0009288000001106411,0.0015316999924834818
7500,0.0012799999967683107,0.10158769998815842,0.024502199987182394,0.011595999996643513,0.0016090999997686595,0.002260299981571734
