N,LL_Insert,HashTable_Insert,AVL_Insert,Cuckoo_Insert,Bloom_Insert,KDTree_Build,LL_Search,HashTable_Search,AVL_Search,Cuckoo_Search,Bloom_Search,KDTree_Search
500,0.00023979999241419137,0.0006290999881457537,0.001960299996426329,0.0053394000278785825,0.006940299994312227,0.0031865000200923532,0.0012534999987110496,0.0001996000064536929,0.0002648000081535429,0.0011501999979373068,0.006665500026429072,0.006660099985310808
1000,0.0004526999837253243,0.0005787999834865332,0.004165399994235486,0.0030712999869138002,0.013792900019325316,0.004903199995169416,0.0026888000138569623,0.0003365999727975577,0.0005452000186778605,0.0026846000109799206,0.016208400018513203,0.011760699999285862
2500,0.000687599997036159,0.0010159999947063625,0.017650100024184212,0.01399070001207292,0.035582699987571687,0.00868969998555258,0.01180390000808984,0.000824199989438057,0.0013168999867048115,0.010404800006654114,0.04560720000881702,0.03825610000058077
5000,0.002667799999471754,0.0032836000027600676,0.034098500007530674,0.02289799999562092,0.07912510001915507,0.025638799997977912,0.0223573999828659,0.002673600014531985,0.0039351000159513205,0.018944100011140108,0.09097520000068471,0.0881441000092309
7500,0.002360599988605827,0.005547000007936731,0.05674259999068454,0.03712159997667186,0.11536419999902137,0.03215189999900758,0.022326599981170148,0.0019153000030200928,0.00541519999387674,0.02397820001351647,0.12308140000095591,0.1253671000013128
